period_start,period_end,platform,metric,value
2025-10-28,2025-11-03,YouTube,CAC,+12.03%
2025-10-28,2025-11-03,Microsoft,CAC,+1.22%
2025-10-28,2025-11-03,Pinterest,CAC,-4.66%
2025-10-28,2025-11-03,Snapchat,CAC,+12.01%
2025-10-28,2025-11-03,Meta,CvR,+0.53%
2025-10-28,2025-11-03,Google,CvR,+1.99%
2025-10-28,2025-11-03,AppLovin,CvR,-1.62%
2025-10-28,2025-11-03,TikTok,CvR,+8.06%
2025-10-28,2025-11-03,YouTube,CvR,-7.67%
2025-10-28,2025-11-03,Microsoft,CvR,+5.03%
2025-10-28,2025-11-03,Pinterest,CvR,+17.69%
2025-10-28,2025-11-03,Snapchat,CvR,-7.15%
2025-10-28,2025-11-03,Meta,ROAS,-5.66%
2025-10-28,2025-11-03,Google,ROAS,-1.53%
2025-10-28,2025-11-03,AppLovin,ROAS,+8.37%
2025-10-28,2025-11-03,TikTok,ROAS,+7.59%
2025-10-28,2025-11-03,YouTube,ROAS,+10.19%
2025-10-28,2025-11-03,Microsoft,ROAS,+4.31%
2025-10-28,2025-11-03,Pinterest,ROAS,-3.05%
2025-10-28,2025-11-03,Snapchat,ROAS,-17.04%
2025-10-28,2025-11-03,Meta,BUDGET_SHARE,63.24%
2025-10-28,2025-11-03,Google,BUDGET_SHARE,25.41%
2025-10-28,2025-11-03,AppLovin,BUDGET_SHARE,3.21%
2025-10-28,2025-11-03,TikTok,BUDGET_SHARE,3.35%
2025-10-28,2025-11-03,YouTube,BUDGET_SHARE,2.70%
2025-10-28,2025-11-03,Microsoft,BUDGET_SHARE,1.10%
2025-10-28,2025-11-03,Pinterest,BUDGET_SHARE,0.90%
2025-10-28,2025-11-03,Snapchat,BUDGET_SHARE,1.41%
2025-10-28,2025-11-03,Meta,SHARE_DELTA,+1.90%
2025-10-28,2025-11-03,Google,SHARE_DELTA,-3.66%
2025-10-28,2025-11-03,AppLovin,SHARE_DELTA,-1.66%
2025-10-28,2025-11-03,TikTok,SHARE_DELTA,+2.97%
2025-10-28,2025-11-03,YouTube,SHARE_DELTA,-7.59%
2025-10-28,2025-11-03,Microsoft,SHARE_DELTA,-4.23%
2025-10-28,2025-11-03,Pinterest,SHARE_DELTA,-2.97%
2025-10-28,2025-11-03,Snapchat,SHARE_DELTA,+23.23%
